Requested_ID,Status,Category(Parent),Location(Sub-area),Type,Area,Block_or_TP_OP_FP,Landmark,Remark,"GMap_Center(lat,lng)",Hotspot_Pitch,Hotspot_Yaw,Hotspot_HFOV,Hotspot_VFOV,Hotspot_Distance,BoundingBox_Width_px,BoundingBox_Height_px,Hotspot_Image_Asset
s02,Found,Surat,Vesu,Freehold,7034,"TP: 7 | OP: - | FP: 47","Main Road, near nandini 3"," Long Leased","21.13788, 72.76233",-4.2,-7.8,0.14,0.21,50,75,110,media/panorama_C6C079F0_F78D_64EC_41E1_C6C8B24BC9DE_HS_whxske87.webp
s05,Found,Surat,Vesu,Freehold,2400,"TP: 7 | OP: - | FP: 37","B/h Star galaxy","","21.13648, 72.7627",-4.48,-7.76,0.1,0.14,50,51,72,media/panorama_C6C079F0_F78D_64EC_41E1_C6C8B24BC9DE_HS_oz6x13hk.webp
s06,Found,Surat,Vesu,Freehold,1580,"TP: 7 | OP: - | FP: -","B/h Star galaxy","","21.13468, 72.76231",-4.91,-7.77,0.11,0.09,50,56,48,media/panorama_C6C079F0_F78D_64EC_41E1_C6C8B24BC9DE_HS_j7ahfr0a.webp
s07,Found,Surat,Vesu,Freehold,1200,"TP: 7 | OP: - | FP: -","opp. shiv krupa, canal road","","21.13441, 72.76089",-4.98,-8.03,0.1,0.09,50,53,50,media/panorama_C6C079F0_F78D_64EC_41E1_C6C8B24BC9DE_HS_gs60rx3j.webp
s10,Found,Surat,Vesu,Freehold,1400,"TP: 2 | OP: - | FP: -","Nr. Enjoy","","21.13718, 72.77805",-4.37,-5.03,0.08,0.11,50,41,58,media/panorama_C6C079F0_F78D_64EC_41E1_C6C8B24BC9DE_HS_kwmfmzp6.webp
s11,Found,Surat,Vesu,Freehold,950,"TP: 2 | OP: - | FP: -","Ratna Jyoti Charrasta, VIP Road","","21.14037, 72.7743",-3.8,-5.69,0.05,0.07,50,25,38,media/panorama_C6C079F0_F78D_64EC_41E1_C6C8B24BC9DE_HS_c0p09wvp.webp
s17,Found (no map hotspot),(not placed on any panorama),Vesu,Freehold,1500,"TP: - | OP: - | FP: -","Nr.Aagam enclave","","21.15025, 72.78066",,,,,,,,(none - not placed on map)
s21,Found,Surat,piplod,Residential,1500,"TP: - | OP: - | FP: -","Krishna Dham Soc., Nr. florence hospital","for Bungalow ","21.15497, 72.77618",-1.05,-5.36,0.07,0.17,50,35,90,media/panorama_C6C079F0_F78D_64EC_41E1_C6C8B24BC9DE_HS_pagzxoup.webp
s24,Found (no map hotspot),(not placed on any panorama),piplod,Residential,1050,"TP: 1 | OP: - | FP: -"," Gunatit nagar, T M Patel School Lane,","for Bungalow ","21.15621, 72.77382",,,,,,,,(none - not placed on map)
s26,Found,Surat,Ghod Dod Road,Residential,750,"TP: - | OP: - | FP: -","Adarsh Society","for Bungalow ","21.17577, 72.8072",2.82,0.07,0.05,0.04,50,27,22,media/panorama_C6C079F0_F78D_64EC_41E1_C6C8B24BC9DE_HS_c9t0wpwr.webp
s27,Found (no map hotspot),(not placed on any panorama),Ghod Dod Road,Freehold,632,"TP: - | OP: - | FP: -","opp. Sarela shopping,","Bungalow / Commercial","21.17548, 72.80754",,,,,,,,(none - not placed on map)
